Source,Target
6130,47350
6130,47351
6130,47352
6130,47353
6130,47354
6130,47355
6130,47356
6130,47357
6130,47358
6130,47359
258380,20789
258380,20791
258380,20792
258380,26199
258380,26202
258380,26203
258380,26205
258380,258381
258380,258382
258380,258384
211463,19163
211463,108781
211463,140051
211463,186012
211463,186015
211463,211464
211463,267681
211463,278125
91158,3878
91158,58397
91158,79767
91158,91157
91158,184171
91158,184173
91158,184174
91158,302409
91158,302410
91158,302411
250879,2611
250879,9856
250879,9863
250879,15038
250879,20890
250879,38002
250879,75298
250879,250880
23792,14379
23792,23785
23792,23788
23792,23789
23792,23791
23792,27514
23792,27515
23792,27516
23792,27517
23792,27518
311376,106512
311376,109688
311376,109689
311376,109691
311376,237460
311376,284563
311376,284564
4739,2588
4739,4298
4739,4299
4739,4300
4739,4736
4739,4737
4739,11357
4739,16188
4739,16191
4739,16193
84842,30884
84842,84839
84842,84840
84842,93677
84842,93678
84842,93679
84842,93680
84842,93681
84842,93682
84842,93683
153628,18212
153628,126556
153628,129001
153628,134392
153628,134393
153628,134395
153628,134396
153628,146913
153628,154567
153628,154568
109188,8255
109188,16070
109188,26823
109188,31898
109188,31899
109188,50083
109188,54272
109188,106189
109188,115346
109188,115347
139595,87536
139595,131085
139595,131584
139595,139596
139595,139597
139595,195457
139595,195458
139595,195459
139595,195460
139595,195461
296,34
296,94
296,165
296,167
296,230
296,231
296,232
296,295
296,1156
296,1157
237472,529
237472,105356
237472,190914
237472,234192
237472,234193
237472,234194
237472,234195
237472,234197
237472,234199
120549,22015
120549,32992
120549,67152
120549,88910
120549,88912
120549,88913
120549,92497
120549,92499
120549,172777
120549,174427
101485,52896
101485,89650
101485,89652
195904,37297
195904,51727
195904,63134
195904,79295
195904,92693
195904,163737
195904,170864
195904,246942
195904,246943
195904,246944
24842,4689
24842,7123
24842,10805
24842,10806
24842,10807
24842,10808
24842,10809
24842,11045
24842,14787
24842,14812
66221,17389
66221,47644
66221,48524
66221,66220
66221,66223
66221,100513
66221,100514
66221,100515
66221,100516
66221,100517
188765,181392
188765,181393
188765,181394
188765,181395
188765,181396
188765,188767
188765,188768
188765,239321
188765,280812
188765,284260
361955,310382
158895,72863
158895,118045
158895,120179
158895,120181
158895,254122
158895,254123
391401,372986
391401,391398
391401,391399
391401,391402
391401,396986
391401,399451
361528,24034
361528,43909
361528,47178
361528,64825
361528,64826
361528,195303
361528,196452
361528,196453
361528,321578
361528,361529
98756,95557
193107,2063
193107,4487
193107,9138
193107,15103
193107,22689
193107,45052
193107,92042
193107,92043
193107,193106
193107,222497
111164,7710
111164,50775
111164,107793
111164,109756
111164,200427
263418,94874
263418,197351
263418,255733
263418,263420
191881,9826
191881,94749
191881,94750
191881,167181
191881,167182
191881,180991
191881,180992
191881,180993
191881,180995
191881,199148
45703,18176
45703,21287
45703,39468
45703,45704
45703,45706
45703,45708
45703,55190
45703,70677
45703,75785
45703,110670
189465,530
189465,2645
189465,4125
189465,10463
189465,43963
189465,119957
189465,176996
189465,190866
216201,44535
216201,93342
216201,107039
216201,107326
216201,107327
216201,111366
216201,111367
216201,124156
216201,145521
216201,145525
77140,39333
77140,54872
77140,67387
77140,77136
77140,77137
77140,77138
77140,77143
77140,129877
77140,142926
77140,142927
178549,39610
178549,47865
178549,58700
178549,69026
178549,99673
178549,131190
178549,136500
178549,178547
178549,232955
178549,232956
56100,3799
56100,12103
56100,12109
56100,27858
56100,56098
56100,56099
56100,56101
56100,140877
56100,142125
56100,155227
390076,6588
390076,81477
390076,101577
390076,106220
390076,116099
390076,116103
390076,254741
390076,299266
390076,328351
390076,384281
103983,19865
103983,32277
103983,72337
103983,76724
103983,86213
103983,102404
103983,103984
35063,8365
35063,33800
35063,35062
35063,61716
35063,78435
35063,96391
35063,103686
35063,110583
35063,110584
294162,51760
294162,70523
294162,93110
294162,153179
294162,183876
85771,59143
85771,62291
85771,85763
85771,85764
85771,85765
85771,85766
85771,85767
85771,85769
85771,145964
85771,145965
59583,41752
59583,41753
59583,41758
59583,50347
59583,59581
59583,59582
59583,66327
59583,66328
59583,66330
59583,66331
272135,19548
272135,58903
272135,72456
272135,107008
272135,141099
272135,160148
272135,168146
272135,263054
272135,347127
272135,347725
212550,99521
212550,212548
212550,212554
212550,212556
212550,212557
212550,215918
212550,226356
212550,251949
212550,294114
359088,346412
359088,347288
359088,359085
359088,359210
359088,359212
359088,364834
359088,364835
359088,364836
359088,386040
359088,389375
356776,347433
356776,347434
356776,356774
356776,356775
356776,356777
356776,356778
356776,356779
356776,356780
356776,356781
356776,360880
96011,32716
96011,40930
96011,40932
96011,75750
96011,96010
96011,96012
96011,96013
96011,96014
96011,96015
96011,97336
113712,37826
113712,84932
113712,113707
113712,113708
113712,113710
113712,113713
113712,113714
113712,126182
113712,153957
113712,153958
94575,21481
94575,94573
94575,94574
36938,3078
36938,3080
36938,3180
36938,3200
36938,3201
36938,3204
36938,3206
36938,19275
36938,118968
36938,118969
297480,82097
297480,85320
297480,206211
297480,216119
297480,247854
297480,259099
297480,268618
297480,315559
297480,315561
297480,349738
297475,240876
297475,297473
297475,297474
297475,297476
213405,29553
213405,148216
213405,148217
213405,179838
213405,186759
213405,189882
213405,224487
213405,302118
213405,302121
213405,335023
347868,215396
347868,274057
347868,335497
347868,335498
347868,335500
347868,360436
372555,824
372555,325336
372555,334912
372555,369814
372555,372552
372555,372553
372555,385389
372555,385391
372555,390742
332981,34
332981,55
332981,84
332981,61646
332981,84591
332981,231733
332981,231734
332981,293805
332981,293806
332981,293807
4907,6130
47350,6130
47351,6130
47352,6130
47353,6130
47354,6130
47356,6130
47357,6130
47358,6130
47359,6130
26203,258380
77682,258380
258381,258380
258382,258380
258383,258380
258384,258380
304015,258380
347998,258380
347999,258380
186012,211463
211464,211463
267681,211463
278125,211463
3878,91158
58397,91158
91157,91158
199282,91158
302409,91158
302410,91158
302411,91158
356800,91158
356801,91158
75298,250879
250880,250879
14379,23792
23786,23792
23787,23792
23788,23792
23789,23792
23791,23792
27514,23792
27515,23792
27516,23792
27517,23792
27518,23792
27707,23792
74608,23792
160305,23792
109691,311376
284563,311376
284564,311376
4298,4739
4299,4739
4300,4739
4736,4739
4737,4739
4738,4739
16188,4739
16191,4739
16193,4739
263833,4739
357691,4739
385132,4739
396423,4739
30884,84842
59390,84842
84839,84842
84840,84842
93677,84842
93678,84842
93679,84842
93680,84842
93681,84842
93682,84842
93683,84842
125349,84842
146588,84842
151419,84842
151421,84842
158355,84842
175751,84842
175752,84842
180911,84842
189108,84842
206193,84842
246979,84842
270663,84842
271363,84842
276743,84842
276807,84842
280169,84842
284924,84842
296781,84842
316015,84842
361161,84842
362468,84842
371929,84842
126556,153628
129000,153628
134396,153628
154567,153628
154568,153628
226093,153628
50081,109188
50083,109188
54272,109188
106189,109188
114847,109188
114848,109188
115346,109188
115347,109188
182689,109188
270038,109188
131584,139595
139596,139595
139597,139595
195457,139595
195458,139595
195459,139595
195460,139595
195461,139595
227318,139595
227319,139595
280781,139595
291697,139595
373357,139595
167,296
230,296
231,296
232,296
295,296
234193,237472
234194,237472
234195,237472
234197,237472
234199,237472
88913,120549
92497,120549
92499,120549
172777,120549
174427,120549
209578,120549
52896,101485
89650,101485
89652,101485
163737,195904
246942,195904
246944,195904
10806,24842
10807,24842
10809,24842
14787,24842
81377,24842
17389,66221
47643,66221
47644,66221
48524,66221
66220,66221
66223,66221
100513,66221
100514,66221
100515,66221
100516,66221
103455,66221
103456,66221
103457,66221
116394,66221
118079,66221
125148,66221
242139,66221
273992,66221
181392,188765
181395,188765
181396,188765
188767,188765
310382,361955
120181,158895
254122,158895
254123,158895
372986,391401
391398,391401
391399,391401
391402,391401
396986,391401
399451,391401
321578,361528
361529,361528
95557,98756
92042,193107
92043,193107
193106,193107
222497,193107
107793,111164
109756,111164
200427,111164
197351,263418
255733,263418
263420,263418
180991,191881
180992,191881
180995,191881
18176,45703
21287,45703
39466,45703
39468,45703
45702,45703
45704,45703
45705,45703
45706,45703
45707,45703
45708,45703
50031,45703
55190,45703
59617,45703
70675,45703
70677,45703
75569,45703
75570,45703
75572,45703
75573,45703
75785,45703
96222,45703
102033,45703
110670,45703
125870,45703
136896,45703
140898,45703
173606,45703
200406,45703
208191,45703
214363,45703
223929,45703
230559,45703
230560,45703
249503,45703
262917,45703
272437,45703
272440,45703
276058,45703
281437,45703
281438,45703
281440,45703
288149,45703
301031,45703
318393,45703
318395,45703
351834,45703
366343,45703
376812,45703
43963,189465
176996,189465
190866,189465
145521,216201
215446,216201
39333,77140
54872,77140
67387,77140
77136,77140
77137,77140
77138,77140
77139,77140
77141,77140
77143,77140
129877,77140
142926,77140
142927,77140
69026,178549
136500,178549
178547,178549
232955,178549
232956,178549
310634,178549
326060,178549
12109,56100
27858,56100
56098,56100
56099,56100
140877,56100
289328,56100
382562,390076
32277,103983
76724,103983
8365,35063
33800,35063
35062,35063
110583,35063
183876,294162
30454,85771
55403,85771
62291,85771
85763,85771
85764,85771
85766,85771
85767,85771
85769,85771
85770,85771
91076,85771
131760,85771
145964,85771
145965,85771
168225,85771
178786,85771
202581,85771
383747,85771
391049,85771
391977,85771
41752,59583
41753,59583
59581,59583
59582,59583
66330,59583
66331,59583
141099,272135
263054,272135
347127,272135
347725,272135
99521,212550
161404,212550
212548,212550
212549,212550
212551,212550
212554,212550
212556,212550
212557,212550
215913,212550
215914,212550
215915,212550
215917,212550
215918,212550
215919,212550
219690,212550
226356,212550
229704,212550
230340,212550
240325,212550
251949,212550
251951,212550
251952,212550
251953,212550
273839,212550
285262,212550
286773,212550
287054,212550
294114,212550
295533,212550
306157,212550
313535,212550
317143,212550
335600,212550
352767,212550
352768,212550
374191,212550
381997,212550
389464,212550
391408,212550
398967,212550
346412,359088
347288,359088
359085,359088
364834,359088
364836,359088
386040,359088
389375,359088
347433,356776
347434,356776
347635,356776
356774,356776
356775,356776
356777,356776
356778,356776
356779,356776
356780,356776
356781,356776
360880,356776
379435,356776
388745,356776
388746,356776
388747,356776
388748,356776
388749,356776
40932,96011
75750,96011
96010,96011
96012,96011
96013,96011
96014,96011
96015,96011
97336,96011
66408,113712
84932,113712
113707,113712
113708,113712
113709,113712
113710,113712
113713,113712
113714,113712
126182,113712
126183,113712
153957,113712
153958,113712
163117,113712
198389,113712
238550,113712
273126,113712
273127,113712
300113,113712
319524,113712
364973,113712
21481,94575
94573,94575
94574,94575
19275,36938
118968,36938
118969,36938
275495,36938
330014,36938
338031,36938
390877,36938
247854,297480
259099,297480
268618,297480
315561,297480
240876,297475
297473,297475
297474,297475
297476,297475
29553,213405
179838,213405
224487,213405
245321,213405
302118,213405
302121,213405
335023,213405
349892,213405
274057,347868
335497,347868
335498,347868
335500,347868
360436,347868
334912,372555
369814,372555
372552,372555
385391,372555
390742,372555
231734,332981
293805,332981
293806,332981
293807,332981
